# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_structure_texture_near.bag'
# timestamp tx ty tz qx qy qz qw
1341839327.5053 -1.9026 2.1183 0.8811 0.3371 0.8044 -0.4601 -0.1663
1341839327.5153 -1.9027 2.1184 0.8811 0.3370 0.8041 -0.4605 -0.1669
1341839327.5254 -1.9028 2.1183 0.8811 0.3371 0.8033 -0.4615 -0.1673
1341839327.5353 -1.9028 2.1183 0.8812 0.3374 0.8028 -0.4622 -0.1673
1341839327.5454 -1.9029 2.1182 0.8811 0.3381 0.8025 -0.4625 -0.1666
1341839327.5554 -1.9029 2.1181 0.8810 0.3385 0.8026 -0.4624 -0.1656
1341839327.5653 -1.9027 2.1181 0.8808 0.3388 0.8031 -0.4616 -0.1647
1341839327.5753 -1.9026 2.1180 0.8807 0.3389 0.8037 -0.4606 -0.1642
1341839327.5853 -1.9025 2.1179 0.8805 0.3385 0.8044 -0.4599 -0.1640
1341839327.6023 -1.9025 2.1179 0.8805 0.3379 0.8049 -0.4592 -0.1643
1341839327.6053 -1.9023 2.1177 0.8802 0.3366 0.8060 -0.4583 -0.1644
1341839327.6159 -1.9023 2.1176 0.8801 0.3361 0.8058 -0.4587 -0.1653
1341839327.6253 -1.9025 2.1180 0.8801 0.3362 0.8050 -0.4595 -0.1670
1341839327.6354 -1.9025 2.1181 0.8802 0.3362 0.8046 -0.4597 -0.1678
1341839327.6453 -1.9026 2.1182 0.8802 0.3358 0.8043 -0.4605 -0.1679
1341839327.6553 -1.9026 2.1183 0.8801 0.3358 0.8040 -0.4611 -0.1678
1341839327.6653 -1.9026 2.1183 0.8800 0.3362 0.8038 -0.4614 -0.1672
1341839327.6753 -1.9024 2.1183 0.8799 0.3367 0.8040 -0.4610 -0.1664
1341839327.6853 -1.9024 2.1183 0.8796 0.3371 0.8043 -0.4604 -0.1658
1341839327.6953 -1.9024 2.1184 0.8794 0.3374 0.8047 -0.4597 -0.1655
1341839327.7053 -1.9022 2.1184 0.8793 0.3376 0.8053 -0.4586 -0.1652
1341839327.7154 -1.9023 2.1183 0.8789 0.3365 0.8063 -0.4577 -0.1649
1341839327.7254 -1.9022 2.1182 0.8788 0.3365 0.8065 -0.4573 -0.1651
1341839327.7354 -1.9022 2.1184 0.8787 0.3364 0.8068 -0.4566 -0.1657
1341839327.7453 -1.9022 2.1185 0.8786 0.3363 0.8066 -0.4568 -0.1665
1341839327.7553 -1.9022 2.1188 0.8787 0.3372 0.8057 -0.4573 -0.1674
1341839327.7653 -1.9023 2.1189 0.8787 0.3375 0.8053 -0.4578 -0.1674
1341839327.7753 -1.9023 2.1190 0.8787 0.3378 0.8050 -0.4582 -0.1671
1341839327.7853 -1.9023 2.1189 0.8787 0.3382 0.8046 -0.4587 -0.1669
1341839327.7979 -1.9023 2.1190 0.8786 0.3383 0.8050 -0.4582 -0.1664
1341839327.8053 -1.9023 2.1189 0.8785 0.3381 0.8050 -0.4581 -0.1665
1341839327.8154 -1.9023 2.1188 0.8783 0.3380 0.8055 -0.4575 -0.1665
1341839327.8253 -1.9021 2.1186 0.8781 0.3370 0.8064 -0.4568 -0.1657
1341839327.8367 -1.9021 2.1184 0.8780 0.3367 0.8067 -0.4564 -0.1659
1341839327.8454 -1.9021 2.1184 0.8780 0.3365 0.8068 -0.4563 -0.1663
1341839327.8553 -1.9021 2.1184 0.8779 0.3363 0.8068 -0.4565 -0.1664
1341839327.8695 -1.9021 2.1183 0.8779 0.3361 0.8064 -0.4570 -0.1669
